SKU,Lines,LooseUOH1Lines,LooseUOH1sperLooseUOH1Lines,FullUOH2Lines,FullUOH2sperFullUOH2Lines,FullUOH3Lines,FullUOH3sperFullUOH3Lines,ShipDate,1,2,3,4,A,C,M,P,R
ARED009449,2.833213344056216,0.29411764705882354,2.2,0.5882352941176471,3.3,0.7647058823529411,3.4615384615384617,16,0.23529411764705882,0.29411764705882354,0.23529411764705882,0.23529411764705882,1,0,0,0,0
ARED009449X,3.1354942159291497,0.6521739130434783,3.8,0.5652173913043478,3.4615384615384617,0.9130434782608695,11.571428571428571,21,0.391304347826087,0.08695652173913043,0.13043478260869565,0.391304347826087,1,0,0,0,0
ARED009450,3.2188758248682006,0.36,4.111111111111111,0.84,3.0476190476190474,0.32,5.0,24,0.52,0.04,0.16,0.28,1,0,0,0,0
ARED009450X,2.995732273553991,0.45,3.6666666666666665,0.55,2.909090909090909,0.9,9.61111111111111,20,0.5,0.05,0.1,0.35,1,0,0,0,0
ARED009451,1.6094379124341003,0.8,4.0,0.6,3.6666666666666665,0.0,0.0,5,0.6,0.0,0.4,0.0,1,0,0,0,0
ARED009451X,1.6094379124341003,0.6,3.6666666666666665,0.8,1.75,1.0,6.2,5,0.2,0.2,0.2,0.4,1,0,0,0,0
ARED009463,1.9459101490553132,0.2857142857142857,4.5,0.2857142857142857,2.0,0.8571428571428571,1.1666666666666667,6,0.0,0.0,0.0,1.0,1,0,0,0,0
ARED009468,1.9459101490553132,0.2857142857142857,2.5,0.14285714285714285,11.0,1.0,3.142857142857143,6,0.2857142857142857,0.0,0.0,0.7142857142857143,1,0,0,0,0
ARED009469,5.0369526024136295,0.3181818181818182,2.6122448979591835,0.35714285714285715,6.618181818181818,0.8311688311688312,3.4609375,127,0.24025974025974026,0.16233766233766234,0.35714285714285715,0.24025974025974026,1,0,0,0,0
ARED009486,0.6931471805599453,0.5,5.0,0.0,0.0,1.0,2.0,2,1.0,0.0,0.0,0.0,1,0,0,0,0
ARED009487,0.0,1.0,6.0,1.0,2.0,1.0,2.0,1,1.0,0.0,0.0,0.0,1,0,0,0,0
ARED009489,1.0986122886681098,0.0,0.0,0.0,0.0,1.0,2.6666666666666665,2,0.0,0.6666666666666666,0.3333333333333333,0.0,1,0,0,0,0
CATT006004X,1.0986122886681098,0.3333333333333333,3.0,1.0,7.666666666666667,1.0,2.0,2,0.0,0.0,1.0,0.0,0,1,0,0,0
CATT006007,0.6931471805599453,0.5,1.0,0.5,7.0,0.5,14.0,2,0.0,0.0,1.0,0.0,0,1,0,0,0
CATT006008,1.3862943611198906,0.5,1.5,0.5,7.0,0.25,4.0,3,0.0,0.0,1.0,0.0,0,1,0,0,0
CATT006009,0.6931471805599453,0.5,2.0,1.0,2.5,0.0,0.0,2,0.0,0.0,1.0,0.0,0,1,0,0,0
CATT006011,0.6931471805599453,1.0,6.0,1.0,4.5,0.5,2.0,1,0.0,0.0,1.0,0.0,0,1,0,0,0
CBIN005256,1.0986122886681098,1.0,3.0,0.3333333333333333,8.0,0.0,0.0,3,0.0,0.6666666666666666,0.3333333333333333,0.0,0,1,0,0,0
CBIN005256X,2.3978952727983707,0.0,0.0,0.09090909090909091,9.0,0.9090909090909091,1.1,10,0.0,0.8181818181818182,0.18181818181818182,0.0,0,1,0,0,0
CBIN005964X,1.791759469228055,0.16666666666666666,2.0,1.0,11.166666666666666,0.5,1.0,6,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN005967X,1.0986122886681098,0.0,0.0,1.0,12.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN005973,2.70805020110221,0.7333333333333333,3.4545454545454546,0.7333333333333333,4.090909090909091,0.6,3.5555555555555554,7,0.0,0.0,1.0,0.0,0,1,0,0,0
CBIN006000,2.995732273553991,0.5,4.4,0.45,5.0,0.8,9.8125,14,0.0,0.0,1.0,0.0,0,1,0,0,0
CBIN006016,3.8918202981106265,0.5510204081632653,4.037037037037037,0.5306122448979592,5.076923076923077,0.8367346938775511,10.073170731707316,27,0.0,0.4897959183673469,0.5102040816326531,0.0,0,1,0,0,0
CBIN006029,2.772588722239781,1.0,8.875,0.0,0.0,0.0,0.0,11,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006056,2.302585092994046,0.6,4.166666666666667,0.6,4.666666666666667,0.7,6.571428571428571,5,0.0,0.0,1.0,0.0,0,1,0,0,0
CBIN006057,1.3862943611198906,0.75,4.666666666666667,0.75,4.0,0.5,9.0,3,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006070,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006070X,5.0369526024136295,0.13636363636363635,4.0476190476190474,0.9285714285714286,11.72027972027972,0.538961038961039,2.433734939759036,35,0.0,0.9025974025974026,0.09740259740259741,0.0,0,1,0,0,0
CBIN006071,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006071X,2.6390573296152584,0.2857142857142857,4.75,1.0,6.714285714285714,0.9285714285714286,1.3076923076923077,10,0.0,0.9285714285714286,0.07142857142857142,0.0,0,1,0,0,0
CBIN006079X,2.5649493574615367,0.07692307692307693,5.0,0.9230769230769231,8.166666666666666,0.7692307692307693,1.1,10,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006089X,3.091042453358316,0.36363636363636365,3.875,0.4090909090909091,5.333333333333333,0.7272727272727273,1.8125,20,0.0,0.9090909090909091,0.09090909090909091,0.0,0,1,0,0,0
CBIN006091X,1.791759469228055,0.5,3.3333333333333335,0.16666666666666666,5.0,0.5,2.6666666666666665,6,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006095X,3.5263605246161616,0.20588235294117646,3.7142857142857144,0.9117647058823529,9.03225806451613,0.8235294117647058,3.0357142857142856,26,0.0,0.8529411764705882,0.14705882352941177,0.0,0,1,0,0,0
CBIN006096X,3.4339872044851463,0.22580645161290322,5.0,0.8709677419354839,9.37037037037037,0.8709677419354839,3.074074074074074,22,0.0,0.9354838709677419,0.06451612903225806,0.0,0,1,0,0,0
CBIN006098X,2.772588722239781,0.125,4.0,1.0,10.25,0.75,2.0,12,0.0,0.9375,0.0625,0.0,0,1,0,0,0
CBIN006099X,3.828641396489095,0.32608695652173914,4.133333333333334,0.9347826086956522,8.116279069767442,0.7391304347826086,3.588235294117647,29,0.0,0.8478260869565217,0.15217391304347827,0.0,0,1,0,0,0
CBIN006100X,1.6094379124341003,0.2,7.0,0.6,4.666666666666667,0.6,2.0,4,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006101X,1.0986122886681098,0.6666666666666666,4.5,0.6666666666666666,1.5,1.0,2.0,2,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006112X,1.9459101490553132,0.5714285714285714,4.25,1.0,9.142857142857142,0.5714285714285714,1.5,7,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006115X,0.6931471805599453,0.0,0.0,1.0,5.5,1.0,3.5,2,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006117X,3.912023005428146,0.26,2.8461538461538463,0.9,8.333333333333334,0.9,4.288888888888889,26,0.0,0.98,0.02,0.0,0,1,0,0,0
CBIN006119X,1.3862943611198906,0.5,5.5,0.75,2.3333333333333335,1.0,1.75,2,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006125X,2.833213344056216,0.17647058823529413,4.666666666666667,0.9411764705882353,6.6875,0.8823529411764706,1.6666666666666667,14,0.0,0.8823529411764706,0.11764705882352941,0.0,0,1,0,0,0
CBIN006127X,1.3862943611198906,0.5,2.0,0.25,2.0,0.75,2.3333333333333335,4,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006140,1.0986122886681098,1.0,3.3333333333333335,0.6666666666666666,5.5,0.3333333333333333,1.0,3,0.0,0.0,1.0,0.0,0,1,0,0,0
