SKU,Lines,LooseUOH1Lines,UOH1perLine,FullUOH2Lines,UOH2perLine,FullUOH3Lines,UOH3perLine,ShipDate,A,C,M,P,R,1,2,3,4,A_oca,P_oca,C_oca,R_oca,M_oca,EUC,MIL,OLD,36_cluster,36_of,42_cluster,42_of,46_cluster,46_of,50_cluster,50_of,39_cluster,39_of,44_cluster,44_of
AOFU006839,143,0.16083916083916083,2.739130434782609,0.3706293706293706,5.509433962264151,0.6993006993006993,1.26,111,1,0,0,0,0,0.5734265734265734,0.13286713286713286,0.08391608391608392,0.2097902097902098,0.805593451568895,0.19236016371077763,0.0006821282401091405,0.001364256480218281,0.0,130.0,0.0,13.0,0.0,0.9957097581399076,0.0,1.1647461035693722,0.0,1.0862336933069732,0.0,1.182393162396448,0.0,1.0158709159919923,0.0,1.8904417985174926
AOFU006841,90,0.26666666666666666,3.2916666666666665,0.2777777777777778,3.8,0.8111111111111111,2.4383561643835616,76,1,0,0,0,0,0.3888888888888889,0.13333333333333333,0.05555555555555555,0.4222222222222222,0.8402597402597403,0.15974025974025974,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.969127046824371,,,0.0,0.9682398609227508,,,0.0,0.9915887520303966,0.0,0.9749857562864033
AOFU006842,86,0.23255813953488372,3.5,0.37209302325581395,3.15625,0.7209302325581395,2.6451612903225805,69,1,0,0,0,0,0.22093023255813954,0.23255813953488372,0.08139534883720931,0.46511627906976744,0.8977099236641222,0.10229007633587786,0.0,0.0,0.0,71.0,0.0,15.0,0.0,1.2790387978402868,0.0,0.9999999999999526,0.0,1.136102197906642,0.0,1.0000000000007465,0.0,1.0295386280146586,0.0,1.0230010150634452
AOFU006843,45,0.5111111111111111,3.0434782608695654,0.5777777777777777,3.5,0.5111111111111111,1.6521739130434783,43,1,0,0,0,0,0.5777777777777777,0.044444444444444446,0.044444444444444446,0.3333333333333333,0.7895927601809954,0.21040723981900453,0.0,0.0,0.0,44.0,0.0,1.0,0.0,1.040915141039498,,,0.0,0.994060610336448,,,0.0,0.9956071145275821,0.0,0.9786803118033477
AOFU006844,60,0.36666666666666664,3.6818181818181817,0.4,2.5833333333333335,0.7666666666666667,2.0652173913043477,54,1,0,0,0,0,0.55,0.13333333333333333,0.11666666666666667,0.2,0.8318264014466547,0.16817359855334538,0.0,0.0,0.0,54.0,1.0,5.0,-2.0,5.382988094848528,,,0.0,1.435240750266585,,,0.0,1.0326869163725318,0.0,1.2379866247362366
AOFU006845,139,0.23741007194244604,3.090909090909091,0.4028776978417266,3.375,0.7841726618705036,2.330275229357798,109,1,0,0,0,0,0.39568345323741005,0.14388489208633093,0.08633093525179857,0.37410071942446044,0.8400342172797263,0.15996578272027373,0.0,0.0,0.0,122.0,0.0,17.0,0.0,1.083264285158666,,,0.0,0.9422618253049062,,,0.0,0.9398122610173825,0.0,0.9611577408568348
AOFU006846,3,0.3333333333333333,1.0,0.0,0.0,0.6666666666666666,5.5,3,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,0.0,0.9888898363910572,0.0,1.0
AOGA004053,59,0.05084745762711865,2.3333333333333335,0.1016949152542373,4.5,0.9830508474576272,3.8793103448275863,34,1,0,0,0,0,0.03389830508474576,0.0,0.0,0.9661016949152542,0.940251572327044,0.059748427672955975,0.0,0.0,0.0,59.0,0.0,0.0,0.0,1.0219792980731084,,,0.0,0.9549160788763407,,,0.0,0.9922322960198473,0.0,1.3024177817129576
AOGA005075,17,0.4117647058823529,1.7142857142857142,0.29411764705882354,3.8,0.8823529411764706,9.0,10,1,0,0,0,0,0.47058823529411764,0.0,0.47058823529411764,0.058823529411764705,0.9487179487179487,0.05128205128205128,0.0,0.0,0.0,17.0,0.0,0.0,,,,,,,,,0.0,1.0495352863494132,0.0,0.9967747652505341
AOGA005076,4,0.75,3.0,0.0,0.0,0.75,2.0,4,1,0,0,0,0,0.25,0.75,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,3.0,,,,,,,,,0.0,1.0302622938992534,0.0,0.9860831011497669
AOGA005123,446,0.08071748878923767,2.5555555555555554,0.22869955156950672,3.7254901960784315,0.9304932735426009,2.8265060240963855,241,1,0,0,0,0,0.4551569506726457,0.19506726457399104,0.02466367713004484,0.3251121076233184,0.7214964370546318,0.27850356294536815,0.0,0.0,0.0,367.0,0.0,79.0,0.0,1.100155694965611,0.0,1.0152996341069715,0.0,1.0837002655914687,0.0,1.0152996341070004,0.0,0.9728347680011555,0.0,1.0
AOGA005173,73,0.2465753424657534,2.6666666666666665,0.4794520547945205,4.114285714285714,0.6027397260273972,2.0454545454545454,59,1,0,0,0,0,0.3698630136986301,0.0,0.0136986301369863,0.6164383561643836,0.8660436137071651,0.13395638629283488,0.0,0.0,0.0,72.0,0.0,1.0,0.0,0.9923641007589037,0.0,1.000000000000062,0.0,0.9926425249388003,0.0,1.0000000000015254,0.0,0.9950719091270545,0.0,0.9883010457611577
AOGA005177,31,0.5483870967741935,2.5294117647058822,0.5483870967741935,3.2941176470588234,0.8709677419354839,6.851851851851852,29,1,0,0,0,0,0.6129032258064516,0.06451612903225806,0.03225806451612903,0.2903225806451613,1.0,0.0,0.0,0.0,0.0,22.0,0.0,9.0,0.0,0.9974152825261914,,,0.0,1.049616841298164,,,0.0,1.348323369621785,0.0,0.9845805525637588
AOGA005184,46,0.2391304347826087,2.090909090909091,0.5217391304347826,5.583333333333333,0.5,1.3043478260869565,37,1,0,0,0,0,0.2826086956521739,0.06521739130434782,0.2826086956521739,0.3695652173913043,0.8034682080924855,0.1936416184971098,0.0,0.0,0.002890173410404624,36.0,0.0,10.0,0.0,0.9888489690858387,,,0.0,0.9965669272156964,,,0.0,1.017899378103235,0.0,0.981983398121103
AOGA005201,257,0.14785992217898833,2.3157894736842106,0.3424124513618677,3.9545454545454546,0.8949416342412452,2.6739130434782608,141,1,0,0,0,0,0.38910505836575876,0.0622568093385214,0.26848249027237353,0.2801556420233463,0.7479630635524172,0.25203693644758285,0.0,0.0,0.0,206.0,0.0,51.0,0.0,1.013890586272682,0.0,0.9470355731224724,0.0,0.9555591899470406,0.0,0.9470355731241888,0.0,1.0958160294045995,0.0,1.149358275555222
